Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
1:11,NYG,4,5,Made,24
39:52,NYG,4,8,Missed,16
8:42,DEN,4,2,Made,21
5:22,DEN,4,10,Made,15
28:41,NE,4,7,Made,7
23:51,NE,4,1,Made,10
17:40,DEN,4,5,Made,18
1:55,CAR,4,9,Made,23
9:45,PIT,4,20,Made,23
26:34,TEN,4,8,Missed,30
16:39,PIT,4,10,Made,10
15:23,PIT,4,10,Made,32
35:38,TEN,4,19,Made,26
50:24,PIT,4,1,Made,8
8:24,CHI,4,5,Made,5
55:04,DET,4,7,Made,9
46:40,DET,4,18,Made,34
45:08,CHI,1,10,Missed,28
29:18,JAX,4,3,Made,20
15:34,JAX,4,9,Missed,23
48:35,JAX,4,4,Made,21
30:00,BAL,4,5,Made,14
15:03,BAL,4,1,Made,21
49:50,BAL,4,2,Made,5
15:09,HOU,4,1,Made,16
22:54,MIN,4,7,Missed,30
36:20,MIN,4,8,Missed,22
47:27,MIN,4,6,Made,21
11:45,WAS,4,7,Made,20
5:35,NO,4,13,Made,34
15:05,NO,4,1,Made,11
54:24,NO,4,7,Made,24
19:13,KC,4,9,Made,13
58:34,KC,4,7,Made,13
46:41,NYG,4,6,Made,8
45:05,KC,3,3,Made,5
9:55,LAC,4,7,Missed,28
4:01,LAC,4,7,Made,16
20:00,LAC,4,9,Made,10
15:02,LAC,2,10,Made,21
40:24,LAC,4,10,Made,10
37:39,BUF,4,10,Made,32
15:05,DEN,1,10,Missed,42
34:58,DEN,4,5,Made,27
15:05,NE,1,10,Made,44
37:09,NE,4,6,Made,33
32:08,NE,4,5,Made,22
53:19,NE,4,3,Made,11
13:27,DAL,4,3,Made,30
3:20,DAL,4,7,Made,9
0:18,PHI,4,11,Missed,16
16:00,DAL,4,6,Made,29
7:16,TB,4,6,Made,12
29:14,TB,4,2,Made,12
24:18,TB,4,9,Missed,24
41:01,MIA,4,8,Made,8
34:22,MIA,4,12,Made,13
45:07,TB,4,7,Made,17
23:15,SEA,4,12,Made,12
16:11,ATL,4,11,Made,26
41:25,SEA,4,9,Made,19
31:45,SEA,4,22,Made,28
48:52,ATL,4,1,Made,1
45:07,SEA,2,10,Missed,34
25:19,DET,4,10,Made,14
18:11,MIN,4,18,Missed,35
37:12,DET,4,10,Made,14
31:09,DET,4,7,Made,32
48:47,MIN,4,8,Made,18
46:15,MIN,4,1,Missed,7
9:03,LAC,4,3,Missed,17
17:00,LAC,4,4,Made,4
19:05,NYG,4,3,Made,12
15:18,WAS,4,9,Made,10
46:54,WAS,4,6,Made,15
9:50,TB,4,4,Made,18
3:56,ATL,4,2,Made,31
16:40,TB,4,9,Made,9
15:05,ATL,3,10,Made,18
9:21,CLE,4,9,Made,9
0:14,CLE,4,15,Missed,25
24:17,CIN,4,12,Made,13
21:17,CIN,4,7,Made,31
17:10,CIN,4,3,Made,3
15:05,CLE,3,2,Made,3
34:37,CLE,4,12,Made,21
7:58,TEN,4,2,Made,11
1:57,TEN,4,10,Made,27
25:09,IND,4,8,Made,8
17:11,IND,4,10,Made,10
36:11,IND,4,12,Made,24
27:05,BUF,4,2,Made,16
18:36,BUF,4,11,Missed,33
16:48,KC,4,6,Made,26
15:09,BUF,4,1,Made,37
36:56,BUF,4,14,Made,31
19:10,MIA,4,10,Made,10
9:59,CAR,4,2,Made,22
5:16,NYJ,4,1,Made,13
19:02,CAR,4,15,Made,15
59:03,NYJ,4,1,Made,1
45:25,CAR,4,3,Made,27
1:25,CHI,4,4,Missed,36
21:57,PHI,4,5,Made,27
38:45,CHI,4,8,Made,20
3:08,LA,4,13,Made,32
16:03,NO,4,8,Made,31
15:02,LA,4,10,Missed,45
59:17,LA,4,20,Made,30
55:09,NO,4,3,Made,3
47:31,LA,4,5,Made,8
9:34,SEA,4,7,Missed,30
15:08,SF,1,10,Made,20
39:24,SF,4,4,Made,24
48:30,SEA,4,2,Made,11
48:30,SEA,4,7,Made,16
8:26,ARI,4,2,Made,16
24:05,ARI,4,3,Made,24
15:20,JAX,4,13,Made,25
41:34,ARI,4,4,Made,30
45:11,ARI,1,10,Made,39
50:50,OAK,4,13,Missed,17
34:20,GB,4,18,Missed,39
45:04,PIT,2,12,Made,35
16:52,HOU,4,7,Made,7
15:12,BAL,4,10,Made,35
